only without orthogonal ,
0.03624143,0.04784538592123009
0.036546946,0.04424739576074465
0.032383274,0.04394229144130141
0.020213766,0.024842357410254128
0.019039236,0.02497542534263226
0.0246229,0.031640791044223446
0.016893325,0.022584539394881923
0.051754594,0.0727004641607617
0.01893439,0.0236859128540673
0.030152744,0.03738450621921715
0.022679346,0.030098035716332756
0.035318367,0.04670484333994531
0.015948026,0.019718799336580977
0.019917697,0.024614813505019636
0.023979157,0.029846951462336426
0.027700523,0.035899402997626145
0.021480104,0.027636859785630213
0.04088925,0.05168975864155651
0.02748306,
